artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Creed,One Last Breath,18872,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,spotify:track:42T2QQv3xgBlpQxaSP7lnK,238240
Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)",18873,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,195533
Red Hot Chili Peppers,By The Way,18875,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,spotify:track:1f2V8U1BiWaC9aJWmpOARe,216933
Darryl Worley,I Miss My Friend,18876,0.554,0.474,4,-7.843,1,0.025,0.155,1.67e-05,0.0859,0.41,139.832,spotify:track:0qnoS5hMZMphvKWi0D2LQh,242927
Dave Matthews Band,Where Are You Going,18877,0.444,0.583,7,-8.121,1,0.0259,0.5,0.15,0.105,0.258,97.492,spotify:track:5EjZXJ4nVpw7uI6eso1SFS,231867
Soluna,For All Time,18880,0.296,0.853,3,-4.121,1,0.106,0.474,0.0,0.108,0.169,190.062,spotify:track:74FoFQHkUuGyjbmyLJ35fz,242973
Andy Griggs,Tonight I Wanna Be Your Man,18881,0.404,0.364,3,-11.249,1,0.0331,0.392,0.0,0.123,0.21,139.493,spotify:track:3RwlpiM8WPPQsNrdQsQb7Y,178360
Kylie Minogue,Love At First Sight,18883,0.603,0.774,3,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,spotify:track:6ua8mbyHXTHpAmGyGpFAS2,238267
P!nk,Just Like A Pill,18884,0.689,0.774,9,-4.528,1,0.0278,8.72e-05,0.0,0.0941,0.25,102.054,spotify:track:1BpV8IGf4XsRRJf4Xuui9q,236600
Tim McGraw,Unbroken,18885,0.595,0.792,1,-6.979,0,0.0286,0.0865,0.0,0.0769,0.536,119.8,spotify:track:7xb8Yyd627JoPLVXyZDxBK,241427
