date,rank,artist,song,lyricId
1982-01-16,55,Daryl Hall John Oates,Private Eyes,11670
1982-01-16,56,The Rolling Stones,Start Me Up,11664
1982-01-16,57,Journey,Open Arms,11808
1982-01-16,58,Balance,Falling In Love,11769
1982-01-16,59,Donnie Iris,Love Is Like A Rock,11795
1982-01-16,60,The Steve Miller Band,Heart Like A Wheel,11738
1982-01-16,61,Greg Lake,Let Me Love You Once,11764
1982-01-16,62,Patti Austin,Every Home Should Have One,11789
1982-01-16,63,Carpenters,Those Good Old Dreams,11793
1982-01-16,64,Buckner & Garcia,Pac-Man Fever,11803
1982-01-16,65,Steve Carlisle,Wkrp In Cincinnati,11767
1982-01-16,66,KISS,A World Without Heroes,11788
1982-01-16,67,The John Hall Band,Crazy (Keep On Falling),11800
1982-01-16,68,Bill Champlin,Tonight Tonight,11801
1982-01-16,69,Quincy Jones Featuring James Ingram,One Hundred Ways,11794
1982-01-16,70,Neil Young / Crazy Horse,Southern Pacific,11798
1982-01-16,71,Peabo Bryson,Let The Feeling Flow,11805
1982-01-16,72,Stevie Wonder,That Girl,11809
1982-01-16,73,Teddy Pendergrass,"You're My Latest, My Greatest Inspiration",11806
1982-01-16,74,Barry Manilow,The Old Songs,11712
1982-01-16,75,Christopher Cross,Arthur's Theme (Best That You Can Do),11656
1982-01-16,76,The Police,Spirits In The Material World,11810
1982-01-16,77,ABBA,When All Is Said And Done,11807
1982-01-16,78,Vangelis,Chariots Of Fire - Titles,11790
1982-01-16,79,Placido Domingo & John Denver,Perhaps Love,11811
1982-01-16,80,Cliff Richard,Daddy's Home,11812
1982-01-16,81,AC/DC,Let's Get It Up,11813
1982-01-16,82,Genesis,No Reply At All,11700
1982-01-16,83,Chilliwack,I Believe,11814
1982-01-16,84,Dave Stewart and Barbara Gaskin,It's My Party,11796
1982-01-16,85,The Oak Ridge Boys,Bobbie Sue,11815
1982-01-16,86,Smokey Robinson,Tell Me Tomorrow - Part I,11816
1982-01-16,87,Skyy,Call Me,11817
1982-01-16,88,Rush,Closer To The Heart,10082
1982-01-16,89,Kano,Can't Hold Back (Your Loving),11802
1982-01-16,90,Soft Cell,Tainted Love,11818
1982-01-16,91,Bob Seger,Tryin' To Live My Life Without You,11678
1982-01-16,92,The Kinks,Better Things,11775
1982-01-16,93,Mike Post featuring Larry Carlton,The Theme From Hill Street Blues,-1
1982-01-16,94,Quincy Jones Featuring James Ingram,Just Once,11658
1982-01-16,95,Survivor,Poor Man's Son,11723
1982-01-16,96,Luther Vandross,Never Too Much,11717
1982-01-16,97,Ringo Starr,Wrack My Brain,11749
1982-01-16,98,Rick Springfield,I've Done Everything For You,11666
1982-01-16,99,Kenny Rogers,Blaze Of Glory,11766
1982-01-16,100,Rick James,Super Freak (Part I),11646
1982-01-23,1,Olivia Newton-John,Physical,11703
1982-01-23,2,Foreigner,Waiting For A Girl Like You,11711
1982-01-23,3,The J. Geils Band,Centerfold,11748
1982-01-23,4,Daryl Hall John Oates,I Can't Go For That (No Can Do),11755
1982-01-23,5,Quarterflash,Harden My Heart,11725
1982-01-23,6,Stevie Nicks With Don Henley,Leather And Lace,-1
1982-01-23,7,George Benson,Turn Your Love Around,11733
1982-01-23,8,"Earth, Wind & Fire",Let's Groove,11706
1982-01-23,9,Lindsey Buckingham,Trouble,11729
1982-01-23,10,Juice Newton,The Sweetest Thing (I've Ever Known),11724
1982-01-23,11,Royal Philharmonic Orchestra,Hooked On Classics,-1
1982-01-23,12,Barbra Streisand,Comin' In And Out Of Your Life,11756
1982-01-23,13,Paul Davis,Cool Night,11751
1982-01-23,14,The Cars,Shake It Up,11762
1982-01-23,15,Eddie Rabbitt,Someone Could Lose A Heart Tonight,11757
1982-01-23,16,The Rolling Stones,Waiting On A Friend,11776
1982-01-23,17,Dan Fogelberg,Leader Of The Band,11771
1982-01-23,18,Little River Band,Take It Easy On Me,11778
1982-01-23,19,The Beach Boys,Come Go With Me,11768
1982-01-23,20,Ronnie Milsap,I Wouldn't Have Missed It For The World,11732
1982-01-23,21,Sheena Easton,You Could Have Been With Me,11770
1982-01-23,22,Air Supply,Sweet Dreams,11784
1982-01-23,23,Billy Joel,She's Got A Way,11763
1982-01-23,24,Neil Diamond,Yesterday's Songs,11747
1982-01-23,25,Rod Stewart,Young Turks,11721
1982-01-23,26,Rick Springfield,Love Is Alright Tonite,11779
1982-01-23,27,Diana Ross,Why Do Fools Fall In Love,11720
1982-01-23,28,Journey,Don't Stop Believin',11737
1982-01-23,29,Journey,Open Arms,11808
1982-01-23,30,Kenny Rogers,Through The Years,11799
1982-01-23,31,Kool & The Gang,Take My Heart (You Can Have It If You Want It),11722
1982-01-23,32,Queen & David Bowie,Under Pressure,11750
1982-01-23,33,Alabama,Love In The First Degree,11760
1982-01-23,34,Sneaker,More Than Just The Two Of Us,11744
1982-01-23,35,Bertie Higgins,Key Largo,11759
1982-01-23,36,Loverboy,Working For The Weekend,11758
1982-01-23,37,Eddie Schwartz,All Our Tomorrows,11785
1982-01-23,38,Del Shannon,Sea Of Love,11786
1982-01-23,39,Barry Manilow,Somewhere Down The Road,11791
1982-01-23,40,Genesis,Abacab,11797
1982-01-23,41,Go-Go's,Our Lips Are Sealed,11674
1982-01-23,42,Stevie Woods,Steal The Night,11680
1982-01-23,43,Diana Ross,"Mirror, Mirror",11804
1982-01-23,44,Al Jarreau,Breakin' Away,11777
1982-01-23,45,Buckner & Garcia,Pac-Man Fever,11803
1982-01-23,46,Commodores,Oh No,11696
1982-01-23,47,Jennifer Warnes,Could It Be Love,11781
1982-01-23,48,Bob Seger & The Silver Bullet Band,Feel Like A Number,11792
1982-01-23,49,Sheila,Little Darlin',11782
1982-01-23,50,Donnie Iris,Love Is Like A Rock,11795
1982-01-23,51,Henry Paul Band,Keeping Our Love Alive,11787
1982-01-23,52,Stevie Wonder,That Girl,11809
1982-01-23,53,The Police,Every Little Thing She Does Is Magic,11695
1982-01-23,54,The Police,Spirits In The Material World,11810
1982-01-23,55,Don McLean,Castles In The Air,11743
1982-01-23,56,KISS,A World Without Heroes,11788
1982-01-23,57,The John Hall Band,Crazy (Keep On Falling),11800
1982-01-23,58,Lulu,If I Were You,11765
1982-01-23,59,ABBA,When All Is Said And Done,11807
1982-01-23,60,Quincy Jones Featuring James Ingram,One Hundred Ways,11794
1982-01-23,61,Bill Champlin,Tonight Tonight,11801
1982-01-23,62,Patti Austin,Every Home Should Have One,11789
1982-01-23,63,Teddy Pendergrass,"You're My Latest, My Greatest Inspiration",11806
1982-01-23,64,Peabo Bryson,Let The Feeling Flow,11805
1982-01-23,65,Billy Squier,My Kinda Lover,11772
1982-01-23,66,Chilliwack,"My Girl (Gone, Gone, Gone)",11698
1982-01-23,67,Daryl Hall John Oates,Private Eyes,11670
1982-01-23,68,Air Supply,Here I Am (Just When I Thought I Was Over You),11693
1982-01-23,69,Placido Domingo & John Denver,Perhaps Love,11811
1982-01-23,70,Cliff Richard,Daddy's Home,11812
1982-01-23,71,AC/DC,Let's Get It Up,11813
1982-01-23,72,The Oak Ridge Boys,Bobbie Sue,11815
1982-01-23,73,Chilliwack,I Believe,11814
1982-01-23,74,Rod Stewart,Tonight I'm Yours (Don't Hurt Me),11819
1982-01-23,75,Vangelis,Chariots Of Fire - Titles,11790
1982-01-23,76,Smokey Robinson,Tell Me Tomorrow - Part I,11816
1982-01-23,77,Skyy,Call Me,11817
1982-01-23,78,"Earth, Wind & Fire",Wanna Be With You,11820
1982-01-23,79,Dave Stewart and Barbara Gaskin,It's My Party,11796
1982-01-23,80,Soft Cell,Tainted Love,11818
1982-01-23,81,Player,If Looks Could Kill,11821
1982-01-23,82,The Pointer Sisters,Should I Do It,11822
1982-01-23,83,The Rolling Stones,Start Me Up,11664
1982-01-23,84,Gidea Park featuring Adrian Baker,Seasons Of Gold,-1
1982-01-23,85,The Steve Miller Band,Circle Of Love,11823
1982-01-23,86,Stevie Woods,Just Can't Win 'em All,11824
1982-01-23,87,Tom Tom Club,Genius Of Love,11825
1982-01-23,88,Tommy Tutone,867-5309/jenny,11826
1982-01-23,89,Balance,Falling In Love,11769
1982-01-23,90,Irene Cara,Anyone Can See,11773
1982-01-23,91,The Steve Miller Band,Heart Like A Wheel,11738
1982-01-23,92,Greg Lake,Let Me Love You Once,11764
1982-01-23,93,Carpenters,Those Good Old Dreams,11793
1982-01-23,94,Steve Carlisle,Wkrp In Cincinnati,11767
1982-01-23,95,Neil Young / Crazy Horse,Southern Pacific,11798
1982-01-23,96,Barry Manilow,The Old Songs,11712
1982-01-23,97,Christopher Cross,Arthur's Theme (Best That You Can Do),11656
1982-01-23,98,Genesis,No Reply At All,11700
1982-01-23,99,Rush,Closer To The Heart,10082
1982-01-23,100,Kano,Can't Hold Back (Your Loving),11802
1982-01-30,1,Daryl Hall John Oates,I Can't Go For That (No Can Do),11755
1982-01-30,2,Foreigner,Waiting For A Girl Like You,11711
1982-01-30,3,The J. Geils Band,Centerfold,11748
1982-01-30,4,Olivia Newton-John,Physical,11703
